,房屋户型,房屋套内面积,房屋朝向,装修情况,所在楼层,建筑时间,建筑类型,房屋标题,房屋所在位置,房屋总价,房屋单价,采集时间
287,3室2厅,100.73平米,东南,精装,中楼层(共9层) ,,塔楼,嘉汇城一期  精装三房  业主急卖  不靠路,嘉汇城一期    -  镜湖大道 ,157,"15,587元/平",2022/4/30
288,3室1厅,97.9平米,南,精装,高楼层(共9层),1999年建,塔楼,龙口西实用高达九成电梯高楼层采光好大三房,边检大院    -  龙口西 ,630,"64,352元/平",2022/4/30
289,4室2厅,103.65平米,北,简装,中楼层(共11层),2004年建,塔楼,雅居乐二期，必选好房好户型，高档社区，业主诚心放,雅居乐雍华廷二期    -  新区 ,222,"21,419元/平",2022/4/30
290,3室1厅,115.21平米,西北,简装,中楼层(共9层),2002年建,塔楼,隆康花园 3房2卫 视野开阔 看房方便,隆康花园    -  白云大道南 ,530,"46,003元/平",2022/4/30
291,3室1厅,79.06平米,西南 西,精装,中楼层(共9层) ,,塔楼,江南大道中 新装修3房 近地铁 上车神盘,江南大道中    -  江南大道中 ,245,"30,990元/平",2022/4/30
292,4室2厅,132.93平米,北,简装,低楼层(共20层),2007年建,塔楼,北向望塔望湖安静 正规四房 随时可看，一手业主诚心卖,珠江帝景苑    -  滨江东 ,726,"54,593元/平",2022/4/30
293,3室1厅,124.85平米,东南,简装,低楼层(共17层) ,,塔楼,2017年楼龄，大三房带主套 南向 大阳台 看房方便,南田路    -  宝岗 ,486,"38,927元/平",2022/4/30
294,3室2厅,79.48平米,南 北,简装,中楼层(共8层) ,,塔楼,青字头，平层电梯三房  过五年 方便看房,江南西路    -  江南西 ,360,"45,295元/平",2022/4/30
295,3室2厅,86.63平米,东南,精装,高楼层(共17层),2008年建,塔楼,此房满五唯一，无抵押，格局方正，通风透气，正南向,富力城南区    -  夏茅 ,336,"38,786元/平",2022/4/30
296,4室2厅,119.58平米,南 北,简装,高楼层(共9层) ,,平房,马赛克小区管理 电梯房  够五年唯一 南北通透,粮食局小区    -  旧区 ,125,"10,454元/平",2022/4/30
297,3室1厅,70.13平米,东南,精装,高楼层(共9层) ,,暂无数据,宝岗大道 3室1厅 东南,宝岗大道    -  宝岗 ,278,"39,641元/平",2022/4/30
298,4室2厅,126.95平米,东南,简装,低楼层(共22层),2006年建,塔楼,保利紫薇花园 大四房 户型方正 东南向 精装修保养好,紫薇花园    -  新市 ,477,"37,574元/平",2022/4/30
299,6室2厅,258.21平米,南,毛坯,低楼层(共3层),2009年建,塔楼,天马河国际公馆 6室2厅 南,天马河国际公馆    -  旧区 ,330,"12,781元/平",2022/4/30
300,4室2厅,178平米,南 北,精装,中楼层(共10层),2009年建,板楼,保利香雪山4+1户型南北对流双阳台 坐北朝南 满五唯一,保利香雪山花园    -  科学城 ,705,"39,596元/平",2022/4/30
